geo_id,do_date,total_pop,pop_25_years_over,pop_25_64,not_us_citizen_pop,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,employed_arts_entertainment_recreation_accommodation_food,employed_finance_insurance_real_estate,employed_information,employed_public_administration,employed_science_management_admin_waste,bachelors_degree_or_higher_25_64,aggregate_travel_time_to_work,male_pop,female_pop,asian_including_hispanic,black_including_hispanic,white_including_hispanic,area_land_meters,int_point_lat,int_point_lon
40037,2011,70467.0,47280.0,36496.0,586.0,1843.0,2179.0,1852.0,1606.0,1769.0,2440.0,1205.0,1091.0,1015.0,2094.0,2266.0,2524.0,1431.0,671.0,706.0,721.0,27434.0,1327.0,1588.0,830.0,751.0,1947.0,5735.0,624430.0,35092.0,35375.0,330.0,1893.0,56003.0,2460107102,35.90773239999999,-96.3797931
48479,2011,256496.0,138909.0,118568.0,52893.0,8180.0,5728.0,7146.0,3973.0,3146.0,4513.0,4380.0,3928.0,2796.0,5077.0,5251.0,5800.0,4251.0,1688.0,1070.0,536.0,96979.0,8068.0,3134.0,609.0,8709.0,7132.0,19077.0,1931775.0,125366.0,131130.0,2344.0,316.0,238781.0,8706186717,27.760798699999995,-99.34075179999999
22063,2011,130251.0,84019.0,71288.0,1429.0,4445.0,3198.0,2028.0,1534.0,1195.0,2887.0,3540.0,1338.0,1758.0,2594.0,5615.0,8239.0,3678.0,1812.0,2073.0,642.0,60163.0,3377.0,3972.0,998.0,4149.0,5719.0,14752.0,1934310.0,63879.0,66372.0,,,,1678761759,30.440419399999996,-90.7274738
37021,2011,241419.0,171626.0,132355.0,7808.0,9068.0,8373.0,4645.0,6999.0,7617.0,6252.0,5264.0,7525.0,4991.0,7917.0,8691.0,8546.0,7365.0,3255.0,2425.0,2574.0,113880.0,10679.0,4898.0,1799.0,3207.0,14400.0,46348.0,2166015.0,115353.0,126066.0,2709.0,16631.0,213743.0,1700318985,35.6093706,-82.5304234
55055,2011,83943.0,55831.0,44795.0,1646.0,1382.0,1538.0,1287.0,1635.0,2043.0,1167.0,1944.0,1880.0,1669.0,3662.0,3932.0,4735.0,2613.0,1294.0,1027.0,649.0,44739.0,2836.0,1723.0,741.0,1574.0,3212.0,9074.0,1014615.0,41874.0,42069.0,464.0,720.0,80164.0,1441306090,43.0138045,-88.7739847
54107,2011,87120.0,61404.0,46543.0,295.0,3119.0,2965.0,2648.0,3181.0,2911.0,2088.0,1552.0,2250.0,1230.0,2108.0,2876.0,2785.0,2403.0,1114.0,1046.0,647.0,35823.0,4452.0,1871.0,368.0,2403.0,2583.0,8686.0,674170.0,42513.0,44607.0,383.0,969.0,83947.0,949251416,39.211602299999996,-81.516234
55027,2011,88661.0,61925.0,48678.0,988.0,1717.0,1501.0,1748.0,1908.0,1437.0,2084.0,1747.0,1315.0,1863.0,3305.0,4341.0,4997.0,2490.0,869.0,716.0,724.0,43330.0,2466.0,1263.0,487.0,1356.0,2793.0,7681.0,855890.0,45816.0,42845.0,333.0,2060.0,83770.0,2268044939,43.4296276,-88.70193940000001
56025,2011,76366.0,51202.0,41636.0,908.0,1300.0,1375.0,1863.0,2450.0,1598.0,1951.0,1805.0,1207.0,975.0,2170.0,3634.0,2891.0,3198.0,1600.0,1057.0,1084.0,39410.0,3884.0,1796.0,451.0,1496.0,3279.0,9676.0,696400.0,38125.0,38241.0,715.0,880.0,70247.0,13831928329,42.977644700000006,-106.7682192
54003,2011,105750.0,70990.0,58594.0,2130.0,2454.0,3078.0,2929.0,1713.0,1404.0,1387.0,1856.0,2598.0,2022.0,3840.0,5283.0,4263.0,3711.0,1428.0,804.0,799.0,47615.0,4530.0,1725.0,1721.0,5535.0,2932.0,10662.0,1479185.0,51625.0,54125.0,911.0,7445.0,92718.0,831770844,39.4479382,-78.03775350000001
42075,2011,134311.0,92164.0,69730.0,1017.0,3037.0,2324.0,2547.0,3215.0,2684.0,2239.0,2985.0,2413.0,1754.0,5384.0,7886.0,6227.0,4758.0,2217.0,1181.0,893.0,63871.0,5147.0,3756.0,1086.0,3540.0,3691.0,14374.0,1405590.0,65538.0,68773.0,1474.0,2704.0,119571.0,937089776,40.3714482,-76.4648185
